,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus
384,119.25,36.02719,0.0327,3.31,100.82,135.76,110446362624.0,5739131904.0,13.40497,2.0835154,Buy
385,120.76,10.75334,0.0427,11.23,101.72,130.55,42982227968.0,5557333504.0,0.58907205,1.4131414,Hold
386,193.48,62.21222,0.0214199998,3.11,163.3,203.09,23286478848.0,698484992.0,10.131287,7.229924,Buy
387,83.54,20.525799,0.0286,4.07,57.24,95.22,41621716992.0,4044999936.0,3.9905767,2.5848572,Buy
388,298.48,30.994808,0.0403,9.63,256.31,369.99,52288626688.0,3353046016.0,11.128495,9.936417,Buy
389,113.78,7.740136,0.0078,14.7,100.24,149.47,23334230016.0,3788722944.0,1.3473346,2.020672,Buy
390,82.98,296.35715,0.027340000600000004,0.28,64.54,130.99,7750066688.0,673129984.0,1.9630218,2.2352118,Hold
391,172.93,19.235817,0.0198,8.99,139.26,230.63,191155077120.0,11959000064.0,4.906193,7.3256793,Buy
392,307.61,56.85952,0.0013,5.41,197.46,365.88,45406924800.0,1868978048.0,1.9825476,6.4215183,Buy
393,163.1,21.23698,0.019299999,7.68,123.18,166.89,18041307136.0,1804999936.0,1.8913206,2.6827867,Buy
394,249.7,23.780952,0.0128,10.5,143.27,260.77,15505945600.0,1059800000.0,2.3005512,6.3490047,Buy
395,168.48,16.453125,0.0116,10.24,104.24,174.32,34471006208.0,4476212531.2,2.6981065,3.1152117,Buy
396,54.64,52.038097,0.0583,1.05,50.65,64.88,47821529088.0,4485658112.0,9.536263,1.2434572,Buy
397,71.84,33.88679,0.0392,2.12,56.51,76.53,13118127104.0,917937984.0,8.805218,1.987825,Buy
398,672.98,16.641443,0.0180600004,40.44,666.25,1211.2,73953771520.0,4598000128.0,5.3407407,2.4738271,Buy
399,24.64,12.766839,0.040799998,1.93,17.42,27.96,22394408960.0,3116520038.4,3.4158645,1.3228109,Buy
400,216.87,34.6992,0.0106,6.25,171.06,220.58,67913273344.0,4804800000.0,4.2935257,6.05106,Buy
401,236.18,27.851416,0.0082,8.48,170.56,260.49,34670276608.0,1632185984.0,7.2117286,6.672882,Buy
402,126.13,60.349285,0.0022,2.09,97.32,129.5,15350273024.0,788105984.0,5.6402583,1.9439306,Buy
403,278.43,33.586246,0.0188,8.29,242.81,304.29,31471777792.0,1613699968.0,3.808206,9.001649,Hold
404,49.5,51.030926,0.013300001,0.97,40.41,52.16,24079620096.0,757598016.0,7.273436,18.191841,Buy
405,575.65,40.199024,0.0061000003,14.32,499.47,581.92,61726375936.0,2732699904.0,9.110097,3.3337774,Buy
406,150.56,23.710236,0.010299999,6.35,127.53,163.6,49674108928.0,2983800064.0,2.3550117,10.359158,Buy
407,266.6,24.258417,0.0093,10.99,113.1,277.08,71688740864.0,5641999872.0,4.465197,10.174796,Buy
408,128.95,36.323944,0.0202,3.55,88.9,132.43,171675009024.0,12570999808.0,2.1719465,2.8084502,Buy
409,521.41,46.101677,0.0073,11.31,407.69,533.29,161793507328.0,6645000192.0,11.751417,4.7597356,Buy
410,341.7,56.47934,0.0047999998,6.05,212.0,369.0,328796405760.0,9345000448.0,9.016767,5.5627007,Buy
411,197.56,31.21011,0.0197,6.33,183.64,252.64,21242243072.0,1785819008.0,7.9829307,4.619834432,Buy
412,40.28,13.206557,0.026800001,3.05,36.52,55.69,57463042048.0,8130999808.0,1.5964173,2.6442592,Buy
413,96.36,17.844444,0.028399998,5.4,82.31,115.32,20806629376.0,1211000064.0,2.8639545,4.641781492000001,Buy
414,82.93,18.26652,0.0298,4.54,66.4,95.77,52527775744.0,4930999808.0,4.066247,1.8224771,Buy
415,1018.38,147.80551,0.01725999956,6.89,637.99,1198.09,210282233856.0,1824000000.0,20.09578,22.616594,Buy
416,358.16,33.916664,0.007900001,10.56,282.09,400.42,90203668480.0,4399799808.0,3.912797,21.595419,Buy
417,173.86,23.11968,0.0478,7.52,135.15,186.0,65279733760.0,4353110016.0,11.0475025,21.228329,Buy
418,88.76,24.054201,0.0335,3.69,82.13,120.86,14267370496.0,1136199936.0,3.2635002,2.2383618,Hold
419,53.09,73.73611,0.0434,0.72,38.55,56.986,27615082496.0,2172999936.0,1.6805674,1.5308535,Buy
420,355.15,18.269032,0.0239,19.44,252.98,373.9,18641752064.0,1480000000.0,3.6530967,3.4059305,Hold
421,74.06,194.89473,0.036940000400000006,0.38,47.16,77.17,12794382336.0,1840000000.0,1.5574416,4.0082264,Hold
422,83.95,19.568764,0.0339,4.29,65.8,94.45,91982331904.0,13061000192.0,3.4804878,2.7624218,Buy
423,30.71,40.407894,0.0227,0.76,23.58,36.12,18417924096.0,1682000000.0,0.6727763,1.7691112,Hold
424,88.07,57.3516604,0.0365,-1.24,77.7,110.88,13577223168.0,1663699968.0,0.8826868,1.5323983,Hold
425,107.68,35.189545,0.024300002,3.06,71.55,110.08,123816919040.0,6700000256.0,3.4226072,11.51773038,Buy
426,101.62,12.377588,0.030299999,8.21,70.2,102.735,29344403456.0,2063775820.8,2.3385723,1.2991396,Buy
427,128.2,13.284974,0.015,9.65,104.6,155.56,19899973632.0,2689149952.0,1.1116264,2.1604314,Buy
428,220.65,37.14646,0.010299999,5.94,197.82,248.24,21779765248.0,1325649024.0,4.0896935,3.3032427,
429,391.29,50.359074,0.0085,7.77,314.93,406.19,149166014464.0,5693000192.0,6.788296,7.4030843,Buy
430,28.52,14.189055,0.01651999992,2.01,17.25,122.9,16700313600.0,1304590720.0,1.117612,3.060086,Hold
431,68.98,8.067837,0.015,8.55,37.99,70.93,26784935936.0,2886627558.4,2.9737911,1.8192848,Buy
432,525.48,56.747295,0.012919999999999997,9.26,457.52,629.38,81227644928.0,1652390016.0,12.528483,10.47044,Buy
