,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Total USD,Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Price / Share (GBP)
2500,Market sell,2023-10-02,17:10:56,SPG,Simon Property,7.5755,105.27,USD,1.21207,9.6,GBP,656.95,GBP,,,,,,,,86.85141947247271
2501,Market sell,2023-10-02,17:10:57,SPG,Simon Property,2.4245,105.27,USD,1.21202,3.08,GBP,210.26,GBP,,,,,,,,86.85500239269977
2502,Market buy,2023-10-02,17:11:37,O,Realty Income,10.0,48.87,USD,1.21183,,GBP,403.87,GBP,,,,,,,,40.32743866713978
2503,Market buy,2023-10-02,17:12:14,VICI,VICI Properties,10.0,28.72,USD,1.21184,,GBP,237.35,GBP,,,,,,,,23.699498283601795
2504,Market buy,2023-10-02,17:17:45,VICI,VICI Properties,9.0,28.74,USD,1.21206,,GBP,213.72,GBP,,,,,,,,23.711697440720755
2505,Market buy,2023-10-02,17:18:00,VICI,VICI Properties,1.0,28.74,USD,1.212,,GBP,23.75,GBP,,,,,,,,23.712871287128714
2506,Market buy,2023-10-03,13:30:01,VICI,VICI Properties,2.0,28.61,USD,1.20788,,GBP,47.44,GBP,,,,,,,,23.686127761035863
2507,Interest on cash,2023-10-04,21:01:43,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2508,Interest on cash,2023-10-04,21:01:46,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2509,Dividend,2023-10-05,12:27:01,VICI,VICI Properties,23.0,0.35,USD,,,,6.68,GBP,,1.43,USD,,,,,
2510,Dividend,2023-10-05,12:27:01,VICI,VICI Properties,214.0,0.35,USD,,,,62.18,GBP,,13.32,USD,,,,,
2511,Dividend,2023-10-06,13:17:44,MRK,Merck & Co,22.0,0.62,USD,,,,11.21,GBP,,2.41,USD,,,,,
2512,Deposit,2023-10-06,17:46:35,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
2513,Market buy,2023-10-06,17:47:19,HD,Home Depot,1.0,293.03,USD,1.22343,,GBP,239.87,GBP,,,,,,,,239.51513368153468
2514,Market buy,2023-10-06,17:48:05,UNH,UnitedHealth,1.0,524.21,USD,1.22352,,GBP,429.08,GBP,,,,,,,,428.44416110893167
2515,Market buy,2023-10-06,17:50:45,AMAT,Applied Materials,2.0,140.84,USD,1.22347,,GBP,230.58,GBP,,,,,,,,115.11520511332522
2516,Dividend,2023-10-06,13:17:44,MRK,Merck & Co,24.0,0.62,USD,,,,12.23,GBP,,2.63,USD,,,,,
2517,Market sell,2023-10-06,13:30:06,RIOT,Riot Platforms,81.0,8.75,USD,1.21581,-2192.24,GBP,582.07,GBP,,,,,,,,7.196848191740486
2518,Market buy,2023-10-06,15:01:50,AMT,American Tower,2.0,156.4,USD,1.21868,,GBP,257.06,GBP,,,,,,,,128.33557619719699
2519,Market buy,2023-10-06,15:02:42,AMAT,Applied Materials,1.0,138.72,USD,1.21919,,GBP,113.95,GBP,,,,,,,,113.78046079774276
2520,Market buy,2023-10-06,15:08:56,AMAT,Applied Materials,1.0,139.05,USD,1.21978,,GBP,114.17,GBP,,,,,,,,113.99596648575972
2521,Market buy,2023-10-06,15:16:09,AMAT,Applied Materials,0.73355428,139.07,USD,1.22154,,GBP,83.64,GBP,,,,,,,,113.84809339031058
2522,Market buy,2023-10-06,15:16:10,AMAT,Applied Materials,0.26644572,139.07,USD,1.22154,,GBP,30.38,GBP,,,,,,,,113.84809339031058
2523,Market buy,2023-10-06,15:18:30,O,Realty Income,1.0,49.76,USD,1.22165,,GBP,40.79,GBP,,,,,,,,40.73179715957926
2524,Interest on cash,2023-10-07,21:01:55,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2525,Market sell,2023-10-09,13:30:09,EXR,Extra Space Storage,8.0,117.61,USD,1.22055,-313.7,GBP,769.71,GBP,,,,,,,,96.3581991725042
2526,Market sell,2023-10-09,13:30:13,HASI,Hannon Armstrong Sustainable Infrastructure Capital,46.0,14.15,USD,1.22045,-776.33,GBP,532.53,GBP,,,,,,,,11.594084149289197
2527,Market buy,2023-10-09,13:50:04,AMT,American Tower,4.0,161.23,USD,1.22119,,GBP,528.9,GBP,,,,,,,,132.02695731212995
2528,Market buy,2023-10-09,14:05:32,UNH,UnitedHealth,1.0,525.5,USD,1.22099,,GBP,431.04,GBP,,,,,,,,430.38845526990394
2529,Market buy,2023-10-09,14:07:37,SPGI,S&P Global,1.0,363.93,USD,1.2207,,GBP,298.58,GBP,,,,,,,,298.1322192184812
2530,Market buy,2023-10-09,14:08:24,AMAT,Applied Materials,1.0,138.11,USD,1.22069,,GBP,113.31,GBP,,,,,,,,113.14092849126314
2531,Interest on cash,2023-10-09,21:01:48,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2532,Market sell,2023-10-09,13:30:07,HASI,Hannon Armstrong Sustainable Infrastructure Capital,103.0,14.15,USD,1.22053,-2581.64,GBP,1192.32,GBP,,,,,,,,11.59332421161299
2533,Market buy,2023-10-09,13:52:07,SPGI,S&P Global,1.0,363.76,USD,1.22104,,GBP,298.36,GBP,,,,,,,,297.9099783790867
2534,Market buy,2023-10-09,13:52:29,UNH,UnitedHealth,1.0,525.12,USD,1.22106,,GBP,430.7,GBP,,,,,,,,430.0525772689303
2535,Market buy,2023-10-09,13:55:11,AMAT,Applied Materials,3.0,138.75,USD,1.22131,,GBP,341.33,GBP,,,,,,,,113.60751979431923
2536,Market buy,2023-10-09,13:59:32,VICI,VICI Properties,5.0,28.72,USD,1.2211,,GBP,117.78,GBP,,,,,,,,23.51977725002047
2537,Interest on cash,2023-10-09,21:01:47,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2538,Market sell,2023-10-10,13:30:05,NEE,NextEra Energy,3.0,49.55,USD,1.22488,-46.09,GBP,121.18,GBP,,,,,,,,40.452942329044475
2539,Market buy,2023-10-10,17:48:21,CWEN/A,Clearway Energy,10.0,20.75,USD,1.22723,,GBP,169.33,GBP,,,,,,,,16.907996056158993
2540,Market buy,2023-10-10,17:56:53,CWEN/A,Clearway Energy,4.0,20.81,USD,1.22708,,GBP,67.94,GBP,,,,,,,,16.95895948104443
2541,Dividend,2023-10-10,12:28:23,GMRE,Global Medical REIT,439.09373,0.18,USD,,,,64.13,GBP,,13.83,USD,,,,,
2542,Dividend,2023-10-10,12:28:23,GMRE,Global Medical REIT,316.0,0.18,USD,,,,46.15,GBP,,9.95,USD,,,,,
2543,Market sell,2023-10-10,13:30:06,EXR,Extra Space Storage,21.0,120.44,USD,1.22457,-8.55,GBP,2062.29,GBP,,,,,,0.02,,98.35289121895849
2544,Market buy,2023-10-10,14:25:44,INTU,Intuit,2.0,540.43,USD,1.22589,,GBP,883.01,GBP,,,,,,,,440.8470580557799
2545,Market buy,2023-10-10,14:26:54,AMT,American Tower,3.0,159.25,USD,1.2263,,GBP,390.17,GBP,,,,,,,,129.86218706678628
2546,Market buy,2023-10-10,14:28:18,TGT,Target,5.0,111.09,USD,1.22626,,GBP,453.64,GBP,,,,,,,,90.5925333942231
2547,Market buy,2023-10-10,14:31:01,CWEN,Clearway Energy,10.0,21.68,USD,1.22591,,GBP,177.12,GBP,,,,,,,,17.684821887414245
2548,Market buy,2023-10-10,14:34:41,AMAT,Applied Materials,1.0,141.65,USD,1.22631,,GBP,115.68,GBP,,,,,,,,115.50912901305543
2549,Market buy,2023-10-10,14:36:08,TGT,Target,1.0,110.65,USD,1.22624,,GBP,90.37,GBP,,,,,,,,90.23519050104385
2550,Market buy,2023-10-10,17:55:57,CWEN,Clearway Energy,1.0,22.11,USD,1.22721,,GBP,18.05,GBP,,,,,,,,18.01647639768255
2551,Dividend,2023-10-11,12:32:30,HASI,Hannon Armstrong Sustainable Infrastructure Capital,46.0,0.34,USD,,,,12.57,GBP,,2.73,USD,,,,,
2552,Dividend,2023-10-11,12:32:30,HASI,Hannon Armstrong Sustainable Infrastructure Capital,103.0,0.34,USD,,,,28.15,GBP,,6.1,USD,,,,,
2553,Market sell,2023-10-11,13:30:05,AWR,American States Water,11.083,79.49,USD,1.23185,78.92,GBP,714.1,GBP,,,,,,,,64.52896050655518
2554,Market sell,2023-10-11,13:30:07,AWR,American States Water,19.917,79.88,USD,1.23186,148.12,GBP,1289.57,GBP,,,,,,,,64.84503109119542
2555,Market buy,2023-10-11,14:40:31,HD,Home Depot,1.0,297.22,USD,1.23171,,GBP,241.67,GBP,,,,,,,,241.30680111389856
2556,Market buy,2023-10-11,14:44:02,INTU,Intuit,1.0,539.44,USD,1.23137,,GBP,438.74,GBP,,,,,,,,438.0811616329779
2557,Market buy,2023-10-11,14:44:55,SPGI,S&P Global,1.0,370.96,USD,1.2315,,GBP,301.67,GBP,,,,,,,,301.2261469752334
2558,Market buy,2023-10-11,14:47:00,UNH,UnitedHealth,1.0,523.95,USD,1.23132,,GBP,426.16,GBP,,,,,,,,425.5189552675178
2559,Market buy,2023-10-11,14:48:16,AMAT,Applied Materials,2.0,142.08,USD,1.23124,,GBP,231.14,GBP,,,,,,,,115.39586108313573
2560,Market buy,2023-10-11,14:50:18,V,Visa,1.0,237.02,USD,1.23128,,GBP,192.79,GBP,,,,,,,,192.49886297186669
2561,Market buy,2023-10-11,14:55:19,V,Visa,1.0,237.08,USD,1.23141,,GBP,192.82,GBP,,,,,,,,192.52726549240305
2562,Dividend,2023-10-13,13:38:17,O,Realty Income,30.0,0.22,USD,,,,5.36,GBP,,1.15,USD,,,,,
2563,Dividend,2023-10-13,13:54:22,MDT,Medtronic,3.0,0.52,USD,,,,1.28,GBP,,0.52,USD,,,,,
2564,Deposit,2023-10-13,18:35:41,,,,,,,,,300.0,GBP,,,,300,GBP,,,
2565,Market buy,2023-10-13,18:39:01,AMAT,Applied Materials,2.0,141.27,USD,1.21327,,GBP,233.22,GBP,,,,,,,,116.4373964575074
2566,Market buy,2023-10-13,18:52:53,O,Realty Income,2.0,50.49,USD,1.2134,,GBP,83.34,GBP,,,,,,,,41.610351079611014
2567,Market sell,2023-10-13,19:42:36,WM,Waste Management,6.5867,158.01,USD,1.21377,191.14,GBP,856.17,GBP,,,,,,,,130.18117106206282
2568,Market sell,2023-10-13,19:42:38,WM,Waste Management,3.4133,158.01,USD,1.21377,99.05,GBP,443.67,GBP,,,,,,,,130.18117106206282
2569,Market buy,2023-10-13,19:48:24,INTU,Intuit,1.0,531.97,USD,1.21378,,GBP,438.94,GBP,,,,,,,,438.2754700192786
2570,Market buy,2023-10-13,19:50:30,UNH,UnitedHealth,1.0,538.86,USD,1.21381,,GBP,444.61,GBP,,,,,,,,443.9409792306868
2571,Market buy,2023-10-13,19:54:14,SPGI,S&P Global,1.0,363.37,USD,1.21388,,GBP,299.8,GBP,,,,,,,,299.3458991004053
2572,Market buy,2023-10-13,19:56:43,AMAT,Applied Materials,1.0,141.43,USD,1.21405,,GBP,116.66,GBP,,,,,,,,116.4943783204975
2573,Market sell,2023-10-13,19:58:44,JPM,JPMorgan Chase & Co,6.0,147.98,USD,1.21405,145.27,GBP,730.23,GBP,,,,,,0.01,,121.8895432642807
2574,Market buy,2023-10-13,19:59:12,INTU,Intuit,1.0,532.3,USD,1.2139,,GBP,439.16,GBP,,,,,,,,438.5039953867699
2575,Interest on cash,2023-10-13,21:01:56,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2576,Dividend,2023-10-13,13:38:17,O,Realty Income,123.0,0.22,USD,,,,21.97,GBP,,4.72,USD,,,,,
2577,Dividend,2023-10-13,13:54:22,MDT,Medtronic,24.0,0.52,USD,,,,10.2,GBP,,4.14,USD,,,,,
2578,Interest on cash,2023-10-14,21:02:13,,,,,,,,,0.02,GBP,,,,0.02,GBP,,,
2579,Interest on cash,2023-10-15,21:02:07,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2580,Interest on cash,2023-10-15,21:01:47,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2581,Dividend,2023-10-16,12:41:19,HRZN,Horizon Technology Finance,25.0,0.09,USD,,,,1.92,GBP,,0.41,USD,,,,,
2582,Market buy,2023-10-16,13:30:00,AMAT,Applied Materials,1.6661463,141.76,USD,1.2171,,GBP,194.35,GBP,,,,,,,,116.47358475063675
2583,Market buy,2023-10-16,13:30:06,AMAT,Applied Materials,0.3338537,141.76,USD,1.21691,,GBP,38.95,GBP,,,,,,,,116.49177013912286
2584,Market buy,2023-10-16,15:15:06,CWEN/A,Clearway Energy,4.0,21.09,USD,1.21941,,GBP,69.28,GBP,,,,,,,,17.29524934189485
2585,Dividend,2023-10-16,12:41:19,HRZN,Horizon Technology Finance,502.0,0.09,USD,,,,38.58,GBP,,8.28,USD,,,,,
2586,Market sell,2023-10-16,15:00:34,WM,Waste Management,10.0,159.41,USD,1.21882,494.76,GBP,1305.89,GBP,,,,,,0.01,,130.79043665184358
2587,Market buy,2023-10-16,15:02:13,SPGI,S&P Global,1.0,371.22,USD,1.21888,,GBP,305.02,GBP,,,,,,,,304.55828301391443
2588,Market buy,2023-10-16,15:03:30,V,Visa,1.0,240.66,USD,1.21898,,GBP,197.73,GBP,,,,,,,,197.42735729872516
2589,Market buy,2023-10-16,15:03:49,MA,Mastercard,1.0,404.41,USD,1.21898,,GBP,332.26,GBP,,,,,,,,331.7609804918867
2590,Market buy,2023-10-16,15:05:00,INTU,Intuit,1.0,541.17,USD,1.219,,GBP,444.62,GBP,,,,,,,,443.94585726004914
2591,Market buy,2023-10-16,15:10:11,O,Realty Income,2.0,50.69,USD,1.21922,,GBP,83.27,GBP,,,,,,,,41.575761552467974
2592,Market sell,2023-10-17,13:30:04,SCI,Service Corp International,37.0,55.02,USD,1.21496,360.1,GBP,1673.04,GBP,,,,,,0.01,0,45.28544149601633
2593,Market buy,2023-10-17,19:53:09,UNH,UnitedHealth,1.0,536.18,USD,1.21798,,GBP,440.88,GBP,,,,,,,,440.22069327903574
2594,Market buy,2023-10-17,19:54:14,SPGI,S&P Global,1.0,367.15,USD,1.21812,,GBP,301.86,GBP,,,,,,,,301.407086329754
2595,Market buy,2023-10-17,19:55:35,AMAT,Applied Materials,3.0,142.48,USD,1.21827,,GBP,351.39,GBP,,,,,,,,116.95272804879049
2596,Market buy,2023-10-17,19:56:27,INTU,Intuit,1.0,538.48,USD,1.21826,,GBP,442.67,GBP,,,,,,,,442.0074532530002
2597,Market buy,2023-10-17,19:57:55,AMAT,Applied Materials,1.0,142.61,USD,1.21841,,GBP,117.23,GBP,,,,,,,,117.04598616229349
2598,Market buy,2023-10-18,13:30:01,HRZN,Horizon Technology Finance,4.0,11.91,USD,1.21697,,GBP,39.21,GBP,,,,,,,,9.786601148754693
2599,Deposit,2023-10-20,12:48:55,,,,,,,,,300.0,GBP,,,,300,GBP,,,
2600,Market buy,2023-10-20,13:30:01,AMAT,Applied Materials,1.0,135.07,USD,1.21445,,GBP,111.39,GBP,,,,,,,,111.21907036106879
2601,Market buy,2023-10-20,13:31:26,AMT,American Tower,1.0,160.78,USD,1.21502,,GBP,132.53,GBP,,,,,,,,132.32703988411714
2602,Interest on cash,2023-10-20,21:01:48,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2603,Interest on cash,2023-10-23,21:02:07,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2604,Interest on cash,2023-10-24,21:02:16,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2605,Dividend,2023-10-27,13:10:14,AMT,American Tower,10.0,1.38,USD,,,,11.36,GBP,,2.43,USD,,,,,
2606,Interest on cash,2023-10-27,21:01:57,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2607,Dividend,2023-10-27,13:10:14,AMT,American Tower,30.0,1.38,USD,,,,34.08,GBP,,7.29,USD,,,,,
2608,Interest on cash,2023-10-29,22:02:14,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2609,Deposit,2023-10-30,10:35:51,,,,,,,,,1100.0,GBP,,,,1100,GBP,,,
2610,Interest on cash,2023-10-30,22:01:54,,,,,,,,,0.06,GBP,,,,0.06,GBP,,,
2611,Market buy,2023-10-31,13:30:01,AMAT,Applied Materials,2.0,131.9,USD,1.21397,,GBP,217.63,GBP,,,,,,,,108.65177887427203
2612,Market buy,2023-10-31,13:30:02,MA,Mastercard,1.0,373.9,USD,1.21398,,GBP,308.46,GBP,,,,,,,,307.9951893770902
2613,Market buy,2023-10-31,13:30:03,SPGI,S&P Global,1.0,347.16,USD,1.21395,,GBP,286.41,GBP,,,,,,,,285.9755344124552
2614,Market buy,2023-10-31,13:31:16,O,Realty Income,0.297231,46.34,USD,1.21347,,GBP,11.37,GBP,,,,,,,,38.188006295994136
2615,Market buy,2023-10-31,13:31:33,O,Realty Income,4.702769,46.26,USD,1.2137,,GBP,179.52,GBP,,,,,,,,38.114855400840405
2616,Dividend,2023-10-31,14:02:04,JPM,JPMorgan Chase & Co,6.0,0.89,USD,,,,4.4,GBP,,0.95,USD,,,,,
2617,Dividend,2023-10-31,14:18:48,LTC,LTC Properties,25.0,0.16,USD,,,,3.32,GBP,,0.71,USD,,,,,
2618,Dividend,2023-10-31,14:18:48,LTC,LTC Properties,165.0,0.16,USD,,,,21.93,GBP,,4.7,USD,,,,,
2619,Dividend,2023-10-31,14:33:40,GOOD,Gladstone Commercial,305.0,0.09,USD,,,,21.32,GBP,,4.58,USD,,,,,
2620,Interest on cash,2023-11-01,22:02:10,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2621,Interest on cash,2023-11-01,22:01:53,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2622,Interest on cash,2023-11-02,22:01:52,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2623,Market buy,2023-11-03,13:30:01,AMAT,Applied Materials,1.0,139.78,USD,1.23219,,GBP,113.61,GBP,,,,,,,,113.44029735673882
2624,Interest on cash,2023-11-03,22:01:52,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2625,Interest on cash,2023-11-04,22:01:57,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2626,Interest on cash,2023-11-05,22:01:54,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2627,Deposit,2023-11-06,18:31:54,,,,,,,,,200.0,GBP,,,,200,GBP,,,
2628,Market buy,2023-11-06,18:33:41,AMAT,Applied Materials,2.0,139.98,USD,1.23672,,GBP,226.71,GBP,,,,,,,,113.18649330487094
2629,Market sell,2023-11-06,14:30:15,NEE,NextEra Energy,3.469,59.4,USD,1.23952,-31.62,GBP,165.99,GBP,,,,,,,,47.92177617142119
2630,Market sell,2023-11-06,14:30:17,NEE,NextEra Energy,43.531,59.75,USD,1.23954,-384.48,GBP,2095.17,GBP,,,,,,,,48.203365764719166
2631,Market buy,2023-11-06,14:33:53,INTU,Intuit,5.0,499.32,USD,1.23962,,GBP,2017.02,GBP,,,,,,,,402.800858327552
2632,Market buy,2023-11-06,14:38:16,MCO,Moody's,1.0,331.17,USD,1.23947,,GBP,267.58,GBP,,,,,,,,267.18678144690875
2633,Market sell,2023-11-06,14:39:52,MDT,Medtronic,24.0,72.78,USD,1.23928,-651.73,GBP,1407.38,GBP,,,,,,0.01,,58.727648311923055
2634,Market buy,2023-11-06,14:40:48,MCO,Moody's,5.0,331.24,USD,1.23958,,GBP,1338.1,GBP,,,,,,,,267.21954210297037
2635,Market sell,2023-11-06,14:45:09,UNP,Union Pacific,17.0,210.62,USD,1.23965,134.42,GBP,2883.97,GBP,,,,,,0.02,,169.9027951437906
2636,Market buy,2023-11-06,14:57:48,MCO,Moody's,10.0,332.22,USD,1.23893,,GBP,2685.51,GBP,,,,,,,,268.1507429798294
2637,Market buy,2023-11-06,15:20:27,MCO,Moody's,1.0,332.08,USD,1.23819,,GBP,268.6,GBP,,,,,,,,268.19793408119915
2638,Market sell,2023-11-07,16:22:44,HI,Hillenbrand,2.0,39.38,USD,1.22996,-2.22,GBP,63.93,GBP,,,,,,,,32.0173013756545
2639,Market buy,2023-11-07,16:48:37,AOS,A O Smith,1.0,71.03,USD,1.22965,,GBP,57.85,GBP,,,,,,,,57.76440450534705
2640,Market sell,2023-11-07,20:59:22,WTRG,Essential Utilities,66.0,35.03,USD,1.22925,-449.83,GBP,1877.67,GBP,,,,,,0.02,0.01,28.49705104738662
2641,Interest on cash,2023-11-07,22:01:58,,,,,,,,,0.11,GBP,,,,0.11,GBP,,,
2642,Market sell,2023-11-08,15:18:10,MDT,Medtronic,3.0,72.18,USD,1.22775,-24.22,GBP,176.11,GBP,,,,,,,,58.790470372632875
2643,Market buy,2023-11-08,15:20:35,AMAT,Applied Materials,1.0,143.03,USD,1.22764,,GBP,116.68,GBP,,,,,,,,116.50809683620605
2644,Interest on cash,2023-11-08,22:01:55,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2645,Market buy,2023-11-08,14:30:01,INTU,Intuit,1.0,521.21,USD,1.22696,,GBP,425.44,GBP,,,,,,,,424.79787442133403
2646,Market buy,2023-11-08,14:30:02,COST,Costco Wholesale,1.0,572.03,USD,1.22695,,GBP,466.92,GBP,,,,,,,,466.2211174049472
2647,Market buy,2023-11-08,14:30:02,AMAT,Applied Materials,1.2728788,142.34,USD,1.2269,,GBP,147.89,GBP,,,,,,,,116.01597522210449
2648,Market buy,2023-11-08,14:30:03,MCO,Moody's,1.0,338.39,USD,1.2269,,GBP,276.22,GBP,,,,,,,,275.8089493846279
2649,Market buy,2023-11-08,14:30:06,CAT,Caterpillar,2.0,236.0,USD,1.22681,,GBP,385.32,GBP,,,,,,,,192.36882646864635
2650,Market buy,2023-11-08,14:30:06,AMAT,Applied Materials,0.7271212,142.55,USD,1.2268,,GBP,84.62,GBP,,,,,,,,116.19660906423216
2651,Interest on cash,2023-11-08,22:02:27,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2652,Dividend,2023-11-09,13:41:31,MA,Mastercard,7.0,0.48,USD,,,,2.76,GBP,,0.6,USD,,,,,
2653,Dividend,2023-11-09,13:41:31,MA,Mastercard,5.0,0.48,USD,,,,1.97,GBP,,0.43,USD,,,,,
2654,Market buy,2023-11-09,14:30:03,AMAT,Applied Materials,1.0,144.9,USD,1.22688,,GBP,118.28,GBP,,,,,,,,118.10446009389672
2655,Market sell,2023-11-10,14:30:06,PSA,Public Storage,4.0,246.58,USD,1.22221,-134.75,GBP,805.79,GBP,,,,,,,,201.74929022017494
2656,Market buy,2023-11-10,15:23:56,ADBE,Adobe,1.0,582.47,USD,1.22026,,GBP,478.05,GBP,,,,,,,,477.33269958861234
2657,Market buy,2023-11-10,15:31:37,MCO,Moody's,1.0,339.69,USD,1.21939,,GBP,278.99,GBP,,,,,,,,278.5737130860512
2658,Market buy,2023-11-10,15:36:21,AOS,A O Smith,2.0,71.93,USD,1.21938,,GBP,118.16,GBP,,,,,,,,58.988994406993726
2659,Market sell,2023-11-10,14:30:08,PSA,Public Storage,3.9444,246.58,USD,1.22221,57.81,GBP,794.58,GBP,,,,,,,,201.74929022017494
2660,Market sell,2023-11-10,14:30:08,PSA,Public Storage,5.0556,246.58,USD,1.22221,74.11,GBP,1018.43,GBP,,,,,,,,201.74929022017494
2661,Market buy,2023-11-10,15:22:54,ADBE,Adobe,3.0,581.93,USD,1.22021,,GBP,1432.88,GBP,,,,,,,,476.90971226264327
2662,Market buy,2023-11-10,15:27:28,MCO,Moody's,1.0,340.06,USD,1.21933,,GBP,279.31,GBP,,,,,,,,278.89086629542453
2663,Market buy,2023-11-10,15:29:33,AOS,A O Smith,2.0,71.88,USD,1.2194,,GBP,118.07,GBP,,,,,,,,58.9470231261276
2664,Market sell,2023-11-10,19:03:37,GOOD,Gladstone Commercial,205.0,11.9,USD,1.22216,-617.45,GBP,1993.53,GBP,,,,,,0.02,0.02,9.73685933102049
2665,Market sell,2023-11-10,19:03:37,GOOD,Gladstone Commercial,12.0,11.91,USD,1.22215,-36.08,GBP,116.76,GBP,,,,,,,,9.745121302622428
2666,Market sell,2023-11-10,19:03:38,GOOD,Gladstone Commercial,88.0,11.89,USD,1.22216,-265.99,GBP,854.82,GBP,,,,,,0.01,0.01,9.72867709628854
2667,Market buy,2023-11-10,19:04:58,ADBE,Adobe,5.0,595.06,USD,1.22222,,GBP,2437.97,GBP,,,,,,,,486.86815794210526
2668,Market buy,2023-11-10,19:06:18,ADBE,Adobe,1.0,595.11,USD,1.22237,,GBP,487.58,GBP,,,,,,,,486.84931730981623
2669,Interest on cash,2023-11-11,22:02:18,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2670,Interest on cash,2023-11-12,22:01:50,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2671,Deposit,2023-11-13,13:25:42,,,,,,,,,250.0,GBP,,,,250,GBP,,,
2672,Market buy,2023-11-13,14:30:08,CAT,Caterpillar,0.106189,239.1,USD,1.22406,,GBP,20.77,GBP,,,,,,,,195.3335620802902
2673,Market buy,2023-11-13,14:30:13,CAT,Caterpillar,0.893811,239.45,USD,1.22388,,GBP,175.13,GBP,,,,,,,,195.64826616988591
2674,Interest on cash,2023-11-14,22:01:59,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2675,Dividend,2023-11-15,13:30:48,ABBV,AbbVie,11.0,1.26,USD,,,,11.1,GBP,,2.44,USD,,,,,
2676,Dividend,2023-11-15,13:33:04,OHI,Omega Healthcare Investors,42.0,0.57,USD,,,,19.19,GBP,,4.22,USD,,,,,
2677,Dividend,2023-11-15,13:42:00,O,Realty Income,32.0,0.22,USD,,,,5.59,GBP,,1.23,USD,,,,,
2678,Dividend,2023-11-15,13:56:52,HRZN,Horizon Technology Finance,31.0,0.09,USD,,,,2.33,GBP,,0.51,USD,,,,,
2679,Market buy,2023-11-15,15:26:28,AOS,A O Smith,1.0,76.95,USD,1.24198,,GBP,62.05,GBP,,,,,,,,61.957519444757565
2680,Market buy,2023-11-15,15:28:01,OHI,Omega Healthcare Investors,2.0,31.7,USD,1.24193,,GBP,51.13,GBP,,,,,,,,25.524788031531568
2681,Interest on cash,2023-11-15,22:02:07,,,,,,,,,0.01,GBP,,,,0.01,GBP,,,
2682,Dividend,2023-11-15,13:30:48,ABBV,AbbVie,35.0,1.26,USD,,,,35.33,GBP,,7.77,USD,,,,,
2683,Dividend,2023-11-15,13:31:23,AOS,A O Smith,74.0,0.27,USD,,,,16.15,GBP,,3.55,USD,,,,,
2684,Dividend,2023-11-15,13:33:04,OHI,Omega Healthcare Investors,178.0,0.57,USD,,,,81.34,GBP,,17.89,USD,,,,,
2685,Dividend,2023-11-15,13:42:00,O,Realty Income,141.0,0.22,USD,,,,24.62,GBP,,5.41,USD,,,,,
2686,Dividend,2023-11-15,13:56:52,HRZN,Horizon Technology Finance,547.0,0.09,USD,,,,41.04,GBP,,9.03,USD,,,,,
2687,Market buy,2023-11-15,15:23:06,ABBV,AbbVie,2.0,137.29,USD,1.24192,,GBP,221.42,GBP,,,,,,,,110.54657304818346
2688,Dividend,2023-11-16,13:24:06,AAPL,Apple,14.0,0.2,USD,,,,2.3,GBP,,0.5,USD,,,,,
2689,Market sell,2023-11-16,20:57:57,QCOM,Qualcomm,16.6424,128.77,USD,1.24095,319.16,GBP,1724.33,GBP,,,,,,,,103.7672750715178
2690,Market sell,2023-11-16,20:57:58,QCOM,Qualcomm,15.3576,128.77,USD,1.24095,294.52,GBP,1591.21,GBP,,,,,,,,103.7672750715178
2691,Interest on cash,2023-11-16,22:01:48,,,,,,,,,0.14,GBP,,,,0.14,GBP,,,
2692,Dividend,2023-11-16,13:24:06,AAPL,Apple,31.0,0.2,USD,,,,5.1,GBP,,1.12,USD,,,,,
